model,horizon,feature_count,train_period,test_period,rank_ic,pearson_ic,icir,direction_accuracy,prediction_target_correlation,top_decile_alpha,bottom_decile_alpha,top_bottom_spread,fold_rank_ic_std
ridge,1,38,2014-01-02..2022-12-29,2022-2024,0.010462327104965441,0.0083751199908012,0.0526932682348342,0.5026334679228354,-0.0022267919079263236,-0.00352549595002813,-0.022125350195065358,0.018599854245037233,0.02424840609618767
xgboost,1,38,2014-01-02..2022-12-29,2022-2024,0.007664716901740141,0.005872701228062803,0.04016625806931884,0.5052714221624046,-0.00648220959092067,-0.006122288605498813,-0.008234017949948073,0.0021117293444492657,0.024743078036189105
lightgbm,1,38,2014-01-02..2022-12-29,2022-2024,0.006091491703974149,0.004156390506835931,0.03280728962015556,0.5052131000448632,-0.005937154003041297,-0.0037553563753129886,-0.010978061936198819,0.007192688904604178,0.024391598722635098
ridge,5,38,2014-01-02..2022-12-22,2022-2024,0.027551103192308534,0.020156578660483492,0.11354525796401409,0.5067698519515478,0.009042093548861124,0.02036295631449691,-0.03306509278147278,0.05342804909596968,0.04428928640942487
xgboost,5,38,2014-01-02..2022-12-22,2022-2024,0.024550333496831372,0.017278143760260482,0.10311425123475278,0.507200538358008,0.01107536748964611,0.018978180547513573,-0.027220480207038895,0.046188427356479586,0.045882733467416746
lightgbm,5,38,2014-01-02..2022-12-22,2022-2024,0.027359087919536337,0.02190502591669124,0.11480511025439664,0.5073037236428892,0.013718397103364628,0.028444368425105337,-0.033202096767273516,0.06167720792737227,0.04573910116189391
elastic_net,5,38,2014-01-02..2022-12-22,2022-2024,0.028043813915862713,0.020537979143260703,0.1144534766674578,0.5072543741588156,0.009263543220917204,0.02456039956143368,-0.03055936814097776,0.05511976770241145,0.04481842014352671
random_forest,5,38,2014-01-02..2022-12-22,2022-2024,0.024644039346766452,0.02120060230669016,0.09672527469159586,0.5077972184836249,0.013248481325272465,0.0329350217689967,-0.02929341249973629,0.06222843426873299,0.047748203433774374
ridge,10,38,2014-01-02..2022-12-15,2022-2024,0.036667404275181344,0.025585831187033378,0.15525321102229125,0.5114625392552714,0.014413094526548136,0.04698138736976503,-0.03168369657213179,0.07866508394189681,0.06248410382162107
xgboost,10,38,2014-01-02..2022-12-15,2022-2024,0.032821818259531614,0.022515789446857733,0.1442424615486032,0.5124001794526694,0.01906435173612372,0.04921095847657281,-0.03247586516463082,0.08170474120662273,0.061737441013850744
lightgbm,10,38,2014-01-02..2022-12-15,2022-2024,0.03325946556042967,0.022163829578600573,0.14730913516761462,0.5128084342754599,0.01681428001841465,0.038514871221223816,-0.029408518604157028,0.06781011909187752,0.06318074811105827
ridge,20,38,2014-01-02..2022-12-01,2022-2024,0.04923337670702696,0.03505968602161916,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.08585491705556085,-0.04333397352988014,0.12918889058544097,0.08224097329549802
xgboost,20,38,2014-01-02..2022-12-01,2022-2024,0.04127985969323833,0.03092835584588212,0.20873672664876725,0.519537909376402,0.038115159042183745,0.05784578327893276,-0.0482826993501052,0.10611216678362465,0.08092585347174033
lightgbm,20,38,2014-01-02..2022-12-01,2022-2024,0.03926391264321195,0.029420604429580704,0.19925037470045306,0.5182907133243607,0.03609531234097176,0.057650427298434816,-0.04298822253260786,0.10062615672009821,0.08084601605715733
